Category,Component,Description,Part Number,Price,Supplier,Paid,,Estimates
,ECU,Wiring Harness,INF3BOXZ/INFDSMXZ/INFMRSCZ," $2,031.24 ",Infinity Box,Y,,
,Guages,,,,,,," $1,000.00 "
,Glove Box,DOOR,3616, $79.00 ,Dynacorn,Y,,
,,HINGE,3616A, $14.00 ,Dynacorn,Y,,
,,GLOVE BOX BUTTON BEZEL SS,HW1607, $8.99 ,CJ Pony Parts,Y,,
,,GLOVEBOX LATCH CATCH,HW1600, $10.99 ,CJ Pony Parts,Y,,
,,GLOVE BOX LATCH,HW1663, $21.99 ,CJ Pony Parts,Y,,
,,LINING,GBL4, $39.99 ,CJ Pony Parts,Y,,
,Sun Visor,SUN VISOR ARM 67-68 ,3609B, $12.50 ,Dynacorn,,,
,,SUN VISOR ARM 67-68 ,3609B, $12.50 ,Dynacorn,,,
,,67-70 CP/FB BLACK SUNVISORS,SV3B, $36.54 ,CJ Pony Parts,,,
,,65-73 RUBBER SUNVISORS TIPS (2),HW115, $2.39 ,CJ Pony Parts,,,
,,65-7 CP/FB SUN VISOR BRKTS.(6),F277, $3.99 ,CJ Pony Parts,,,
,Centre Consle,,,,,,, $100.00 
,AC Controls,MINI CONCAVE WITH INDICATOR RINGS,RM-6506, $222.50 ,Restomod Air,Y,,
,Switches,Emergency Brake,, $5.48 ,YQE,Y,,
,,Push Start,, $5.48 ,YQE,Y,,
,,Hazard,, $5.48 ,YQE,Y,,
,,Rear Demist,, $4.55 ,YQE,Y,,
,,A/C,, $4.55 ,YQE,Y,,
,,Trunk Release,, $4.29 ,YQE,Y,,
,,Hood Release,, $4.29 ,YQE,Y,,
,,Door Lock,, $20.00 ,Narva,Y,,
,,Window Passenger,, $20.00 ,Narva,Y,,
,,Window Driver,, $20.00 ,Narva,Y,,
,Interior Panels,Headliner,, $349.00 ,Mustangs to Fear,Y,,
,,Door Panels,,,,,, $200.00 
,,Kick Panels,KP2B, $26.99 ,CJ Pony Parts,,,
,,Rear Quarter Panels,,,,,, $500.00 
,,Parcel Shelf,,,,,, $500.00 
,Seats,Front Seats,,,Recaro,,," $5,000.00 "
,,Rear Seat Frame,3641RF, $159.00 ,Dynacorn,Y,,
,,Rear Seat Foam,3641RH, $99.00 ,Dynacorn,Y,,
,Seat Belts,Front,, $300.00 ,,,,
,,Rear,, $300.00 ,,,,
,Entertainment,,,,Alpine,,," $5,000.00 "
,Keyless Entry,Push Button Start,,,,,, $300.00 
,,Alarm/Immobilizer,,,,,, $200.00 
,Handbrake Assembly,E-Stopp Push Button Handbrake,SW142100, $439.99 ,Speedway Motors,Y,,
,Shifter Asembly,Hammer Shifter,B&M 80885, $205.86 ,B&M,Y,,
,,Instalation Kit,B&M81020, $75.34 ,B&M,,,
,Door Locks,Power Locks,AWDL-6570, $299.95 ,Autoworks International,,, $100.00 
,Power Hood Latch,WMS Stealth Hood Pins,WMS-SHP05M, $299.00 ,Western Motorsport,Y,,
,Power Window Assembly,"67-68 FB POWER WINDOW KIT, FRONT DOORS ONLY W/O SWITCHES",67PWKC, $424.99 ,CJ Pony Parts,Y,,
,,LH DOOR GLASS FRONT RUN CHANNEL,DGR3L, $47.99 ,CJ Pony Parts,Y,,
,,RH DOOR GLASS FRONT RUN CHANNEL,DGR3R, $47.99 ,CJ Pony Parts,Y,,
,,LH WINDOW REGULATOR SCISSOR CHANNEL,WRSC2, $16.79 ,CJ Pony Parts,Y,,
,,RH WINDOW REGULATOR SCISSOR CHANNEL,WRSC2, $16.79 ,CJ Pony Parts,Y,,
,,WINDOW GUIDE RH 67-68 ,3641FA, $62.00 ,Dynacorn,Y,,
,,WINDOW GUIDE LH 67-68 ,3641FB, $62.00 ,Dynacorn,Y,,
,,DOOR GLASS CHANNEL/RETAINER ASSY RH,3614DK, $79.00 ,Dynacorn,Y,,
,,DOOR GLASS CHANNEL/RETAINER ASSY LH,3614EK, $79.00 ,Dynacorn,Y,,
,Boot Lock Catch,ELECTRIC REMOTE TRUNK RELEASE,RTR2, $98.99 ,CJ Pony Parts,Y,,
,Boot Lock Latch,67/8 TRUNK LATCH & STRIKER (5),F227, $7.19 ,CJ Pony Parts,Y,,
,,Cost,," $6,495.59 ",,,," $13,700.00 "
"Exterior ($2,500)",,,,,,,,
,Lights,Headlights,,,,,, $100.00 
,,Centre Brake Light,,,,,, $50.00 
,,Tail-lights,MP-E6004-UB-DLX, $283.44 ,Mustang Project,Y,,
,,Tail Lamp Housing x 2,3643M, $52.00 ,Dynacorn,Y,,
,,Tail Lamp Housing to Body Seal x 2,3643MB, $23.00 ,Dynacorn,Y,,
,,Tail Lamp Bezels with Seals x 2,L3616, $54.00 ,Dynacorn,Y,,
,,Interior Lights,,,,,, $50.00 
,,Front turn/park LED housing lamp kit,MP-1157-PK-KIT, $76.95 ,Mustang Project,Y,,
,,Fog Lights,MP-AUS-1157, $99.95 ,Mustang Project,Y,,
,,Front Indicators,As Above,,Mustang Project,Y,,
,,Side Indicators,,,,,, $30.00 
,,Reverse Lights,MP-1142-RFB, $99.95 ,Mustang Project,Y,,
,,"LAMP HOUSING, BACKUP RH",L3604, $24.00 ,Dynacorn,Y,,
,,"LAMP HOUSING, BACKUP LH ",L3605, $24.00 ,Dynacorn,Y,,
,Wipers,LH Wiper Arms,3609K, $7.95 ,Dynacorn,Y,,
,,RH Wiper Arms,3609K, $7.95 ,Dynacorn,Y,,
,,WIPER MOTOR TRANSMISSION ARM,3623, $69.00 ,Dynacorn,Y,,
,,Wiper Motor Bracket,WMMB2, $50.99 ,CJ Pony Parts,Y,,
